Driver Name,Year,Series,Standing,Points,Wins,Podiums
Max Verstappen,2015,Formula 1,12th,49.0,0,0
Max Verstappen,2016,Formula 1,5th,204.0,1,7
Max Verstappen,2017,Formula 1,6th,168.0,2,4
Max Verstappen,2018,Formula 1,4th,249.0,2,11
Max Verstappen,2019,Formula 1,3rd,278.0,3,9
Max Verstappen,2020,Formula 1,3rd,214.0,2,11
Max Verstappen,2021,Formula 1,1st,395.5,10,18
Max Verstappen,2022,Formula 1,1st,454.0,15,17
Max Verstappen,2023,Formula 1,1st,575.0,19,21
Max Verstappen,2024,Formula 1,1st,437.0,9,14
Lando Norris,2018,Formula 2,2nd,219.0,1,9
Lando Norris,2019,Formula 1,11th,49.0,0,0
Lando Norris,2020,Formula 1,9th,97.0,0,1
Lando Norris,2021,Formula 1,6th,160.0,0,4
Lando Norris,2022,Formula 1,7th,122.0,0,1
Lando Norris,2023,Formula 1,6th,205.0,0,7
Lando Norris,2024,Formula 1,2nd,374.0,3,12
Charles Leclerc,2017,Formula 2,1st,282.0,7,10
Charles Leclerc,2018,Formula 1,13th,39.0,0,0
Charles Leclerc,2019,Formula 1,4th,264.0,2,10
Charles Leclerc,2020,Formula 1,8th,98.0,0,2
Charles Leclerc,2021,Formula 1,7th,159.0,0,1
Charles Leclerc,2022,Formula 1,2nd,308.0,3,11
Charles Leclerc,2023,Formula 1,5th,206.0,0,6
Charles Leclerc,2024,Formula 1,3rd,356.0,3,12
Lewis Hamilton,2007,Formula 1,2nd,109.0,4,12
Lewis Hamilton,2008,Formula 1,1st,98.0,5,10
Lewis Hamilton,2009,Formula 1,5th,49.0,2,5
Lewis Hamilton,2010,Formula 1,4th,240.0,3,9
Lewis Hamilton,2011,Formula 1,5th,227.0,3,6
Lewis Hamilton,2012,Formula 1,4th,190.0,4,7
Lewis Hamilton,2013,Formula 1,4th,189.0,1,5
Lewis Hamilton,2014,Formula 1,1st,384.0,11,16
Lewis Hamilton,2015,Formula 1,1st,381.0,10,17
Lewis Hamilton,2016,Formula 1,2nd,380.0,10,17
Lewis Hamilton,2017,Formula 1,1st,363.0,9,13
Lewis Hamilton,2018,Formula 1,1st,408.0,11,17
Lewis Hamilton,2019,Formula 1,1st,413.0,11,17
Lewis Hamilton,2020,Formula 1,1st,347.0,11,14
